company_id,year,CFO_sign,CFI_sign,CFF_sign,pattern_label
ABB,2012-12,+,-,-,Reinvestor
ABB,2014-03,+,+,+,Cash Accumulator
ABB,2015-03,-,-,+,Distress Signal
ABB,2016-03,+,-,-,Reinvestor
ABB,2017-03,+,-,-,Reinvestor
ABB,2018-03,+,-,+,Aggressive Expander
ABB,2019-03,+,-,+,Aggressive Expander
ABB,2020-03,+,-,+,Aggressive Expander
ABB,2021-03,+,-,-,Reinvestor
ABB,2022-03,+,-,-,Reinvestor
ABB,2023-03,+,-,+,Aggressive Expander
ABB,2024-03,+,-,-,Reinvestor
ADANIENSOL,2014-03,+,+,+,Cash Accumulator
ADANIENSOL,2015-03,-,-,+,Distress Signal
ADANIENSOL,2016-03,+,-,-,Reinvestor
ADANIENSOL,2017-03,+,-,-,Reinvestor
ADANIENSOL,2018-03,+,-,+,Aggressive Expander
ADANIENSOL,2019-03,+,-,+,Aggressive Expander
ADANIENSOL,2020-03,+,-,+,Aggressive Expander
ADANIENSOL,2021-03,+,-,-,Reinvestor
ADANIENSOL,2022-03,+,-,-,Reinvestor
ADANIENSOL,2023-03,+,-,+,Aggressive Expander
ADANIENSOL,2024-03,+,-,-,Reinvestor
ADANIENT,2013-03,+,-,+,Aggressive Expander
ADANIENT,2014-03,+,-,-,Reinvestor
ADANIENT,2015-03,+,-,+,Aggressive Expander
ADANIENT,2016-03,+,-,-,Reinvestor
ADANIENT,2017-03,+,-,+,Aggressive Expander
ADANIENT,2018-03,+,-,+,Aggressive Expander
ADANIENT,2019-03,+,+,-,Asset Seller
ADANIENT,2020-03,+,-,-,Reinvestor
ADANIENT,2021-03,+,-,+,Aggressive Expander
ADANIENT,2022-03,+,-,+,Aggressive Expander
ADANIENT,2023-03,+,-,-,Reinvestor
ADANIENT,2024-03,+,-,+,Aggressive Expander
ADANIGREEN,2017-03,+,-,+,Aggressive Expander
ADANIGREEN,2018-03,+,-,+,Aggressive Expander
ADANIGREEN,2019-03,+,-,+,Aggressive Expander
ADANIGREEN,2020-03,+,-,+,Aggressive Expander
ADANIGREEN,2021-03,+,-,+,Aggressive Expander
ADANIGREEN,2022-03,+,-,+,Aggressive Expander
ADANIGREEN,2023-03,+,-,-,Reinvestor
ADANIGREEN,2024-03,+,-,+,Aggressive Expander
ADANIPORTS,2013-03,+,-,+,Aggressive Expander
ADANIPORTS,2014-03,+,-,+,Aggressive Expander
ADANIPORTS,2015-03,+,-,-,Reinvestor
ADANIPORTS,2016-03,+,-,+,Aggressive Expander
ADANIPORTS,2017-03,+,-,-,Reinvestor
ADANIPORTS,2018-03,+,-,-,Reinvestor
ADANIPORTS,2019-03,+,-,+,Aggressive Expander
ADANIPORTS,2020-03,+,-,-,Reinvestor
ADANIPORTS,2021-03,+,-,+,Aggressive Expander
