company_id,cluster_id,cluster_name,distance_from_centroid
JSWENERGY,1,Defensive Dividend Payers,0.6049098401289694
IRCTC,2,Emerging Growth,0.4726033107741637
ULTRACEMCO,1,Defensive Dividend Payers,0.6012940088968091
IOC,1,Defensive Dividend Payers,0.1622443333670997
JINDALSTEL,1,Defensive Dividend Payers,0.9547806129175502
TITAN,2,Emerging Growth,0.5797770805373258
TORNTPHARM,1,Defensive Dividend Payers,0.4934238605170942
JIOFIN,2,Emerging Growth,1.0808215004316917
INDUSINDBK,0,Distressed or Turnaround,0.9573609586914378
ADANIENT,2,Emerging Growth,0.550215651575975
INDIGO,4,High-Quality Compounders,2.424840451043301
ITC,1,Defensive Dividend Payers,0.7143366567294792
ICICIPRULI,1,Defensive Dividend Payers,2.164097007650802
TRENT,2,Emerging Growth,2.671134648461929
ADANIENSOL,2,Emerging Growth,1.0073066569369296
TECHM,1,Defensive Dividend Payers,0.1821693588912669
ADANIGREEN,0,Distressed or Turnaround,2.374503149768169
INFY,1,Defensive Dividend Payers,0.7609184122646832
TVSMOTOR,2,Emerging Growth,1.2880683630167389
IRFC,0,Distressed or Turnaround,0.588558063676972
ABB,1,Defensive Dividend Payers,0.5424155361774396
ADANIPORTS,2,Emerging Growth,0.5534975963812095
ONGC,1,Defensive Dividend Payers,0.3815425242214554
UNIONBANK,1,Defensive Dividend Payers,0.6012940088968091
AMBUJACEM,1,Defensive Dividend Payers,0.5360130262332917
BRITANNIA,2,Emerging Growth,1.6672050735464048
MOTHERSON,1,Defensive Dividend Payers,0.2222246706224813
BPCL,1,Defensive Dividend Payers,0.1784808503565587
BOSCHLTD,1,Defensive Dividend Payers,0.3875220071475778
HAVELLS,1,Defensive Dividend Payers,0.8623189770187863
POWERGRID,1,Defensive Dividend Payers,0.4948429520427869
HCLTECH,2,Emerging Growth,0.6973113463700044
MARUTI,1,Defensive Dividend Payers,0.4896786222115834
BHEL,1,Defensive Dividend Payers,1.7945337744891132
RECLTD,0,Distressed or Turnaround,0.941182673677965
BHARTIARTL,2,Emerging Growth,1.0372283244112692
HDFCBANK,0,Distressed or Turnaround,4.914068157823185
M&M,1,Defensive Dividend Payers,0.5636849345490313
PNB,2,Emerging Growth,1.471067832768383
HAL,3,High-Quality Compounders,0.7492925434016163
NAUKRI,2,Emerging Growth,0.6427821400269271
DMART,2,Emerging Growth,0.7604323792761274
DRREDDY,1,Defensive Dividend Payers,1.0884260722756844
PFC,0,Distressed or Turnaround,1.184381691766491
DLF,1,Defensive Dividend Payers,1.871663783695932
NTPC,1,Defensive Dividend Payers,0.7025937692519236
PIDILITIND,2,Emerging Growth,0.8121287603873897
DIVISLAB,1,Defensive Dividend Payers,1.0134481063553933
EICHERMOT,1,Defensive Dividend Payers,0.4512271871470348
RELIANCE,1,Defensive Dividend Payers,0.2646332646645665
DABUR,1,Defensive Dividend Payers,0.4104298512523999
COALINDIA,4,High-Quality Compounders,3.0043866510219592
CIPLA,2,Emerging Growth,7.028257459977636
GAIL,1,Defensive Dividend Payers,0.6885750585544689
CHOLAFIN,0,Distressed or Turnaround,1.1544723316129877
NESTLEIND,2,Emerging Growth,0.8378340579681326
GODREJCP,1,Defensive Dividend Payers,0.3487817022457306
CANBK,0,Distressed or Turnaround,2.638701781606151
GRASIM,1,Defensive Dividend Payers,0.7099599536035737
NHPC,1,Defensive Dividend Payers,1.1216049458419848
BEL,3,High-Quality Compounders,0.7492925434016156
SBILIFE,2,Emerging Growth,1.4336894878870226
HDFCLIFE,2,Emerging Growth,1.1937753869266328
LODHA,1,Defensive Dividend Payers,1.5628056451676693
TATACONSUM,1,Defensive Dividend Payers,1.6946976363755184
BAJAJ-AUTO,1,Defensive Dividend Payers,0.2636120546858994
HINDUNILVR,4,High-Quality Compounders,1.4319945135935044
LICI,1,Defensive Dividend Payers,1.6709035752192836
TATAMOTORS,1,Defensive Dividend Payers,0.3720424884900568
AXISBANK,0,Distressed or Turnaround,2.000665256388045
BAJAJFINSV,0,Distressed or Turnaround,1.1258957135941745
KOTAKBANK,0,Distressed or Turnaround,1.8038599038278929
ASIANPAINT,2,Emerging Growth,0.8261359858804649
ICICIBANK,0,Distressed or Turnaround,1.28654937714572
TATASTEEL,1,Defensive Dividend Payers,0.3560217680281055
JSWSTEEL,2,Emerging Growth,0.5623824061882873
TCS,1,Defensive Dividend Payers,0.4949430932054224
ICICIGI,2,Emerging Growth,0.7761271847509446
APOLLOHOSP,2,Emerging Growth,0.5058884533766228
TATAPOWER,2,Emerging Growth,1.0318254115916852
ADANIPOWER,2,Emerging Growth,0.2816561128329276
SUNPHARMA,2,Emerging Growth,1.14189208107846
BAJAJHLDNG,2,Emerging Growth,1.9803190705343447
LTIM,2,Emerging Growth,1.802024210643689
BANKBARODA,0,Distressed or Turnaround,1.9108966307847264
SHREECEM,1,Defensive Dividend Payers,0.4084992264274963
BAJFINANCE,4,High-Quality Compounders,2.0380728484507857
HEROMOTOCO,1,Defensive Dividend Payers,1.0339890327044112
LT,1,Defensive Dividend Payers,0.5366215791812599
SHRIRAMFIN,0,Distressed or Turnaround,1.327732876654509
HINDALCO,4,High-Quality Compounders,0.7082496905574587
SIEMENS,2,Emerging Growth,1.325258539853731
