KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.386,11.610000000000001,15.795,25.927500000000002,47.969000000000015,122.62760869565219,633.7507843658489
debt_to_equity,0.008979999999999997,0.06145,0.43579999999999997,1.644325,6.580330000000001,1.7874097826086959,3.076905780879347
operating_profit_margin_pct,8.0,14.0,22.0,42.0,4102.0,892.6373626373627,8421.077297823711
net_profit_margin_pct,4.619000000000001,7.244999999999999,14.024999999999999,20.347499999999997,29.244000000000003,19.93880434782609,45.1951343253516
asset_turnover,0.07213,0.20375,0.6705,1.13195,1.6522400000000002,3.467414130434782,15.76421236958303
interest_coverage,1.6107,3.17995,11.3613,58.08945,192.2895,126.16768021978021,485.93171149283023
revenue_cagr_5yr,5.84,8.440000000000001,11.84,17.185000000000002,21.17,12.987582417582416,7.414088291992833
pat_cagr_5yr,4.32,9.565,16.13,23.619999999999997,37.913999999999994,20.339518072289156,20.55396465841925
free_cash_flow_cr,-14435.1,-1290.0,1123.5,8348.5,20412.2,918.4565217391304,23129.88559067358
capex_cr,479.5,1435.25,3976.0,9007.5,22609.80000000001,10169.608695652174,20642.623122647467
